url;title;h1;description;marker_query;word_count;is_article;outbound_body_count;outbound_body_links;inbound_total;inbound_content_only;inbound_breakdown
/drenazh/ukladka-drenazhnoy-truby/;Укладка дренажной трубы: глубина, уклон, диаметр | НАШДОМ;Укладка дренажной трубы: глубина, уклон, диаметр;Пошаговая укладка дренажной трубы: на какую глубину закапывать, какой уклон держать (5-10 мм на метр), какой диаметр брать и как собрать слои траншеи.;укладка дренажной трубы глубина;925;yes;8;"/drenazh/drenazhnaya-truba/ (как выбрать саму трубу); /drenazh/otvod-vody-ot-doma/ (куда направить собранную воду); /drenazh/rating-drenazhnyh-trub/ (рейтинг дренажных труб); / (дренаж участка); /drenazh/drenazhnaya-truba/ (Выбор дренажной трубы: диаметр и тип перфорации); /drenazh/shcheben-dlya-drenazha/ (Щебень для обсыпки дрены: породы и фракции); /drenazh/drenazhnyy-kolodec/ (Смотровые и поглотительные дренажные колодцы); / (Каталог инструкций по воде на участке)";9;9;"main-card:1; related:8"
/kontakty/;Контакты | НАШДОМ;Контакты;Как связаться с автором справочника НАШДОМ: вопросы по статьям, найденные ошибки, предложения тем и сотрудничество.;контакты;87;no;3;"/drenazh/drenazh-uchastka-svoimi-rukami/ (пошаговой инструкции по дренажу); / (главной странице); /o-proekte/ (о проекте)";24;0;footer-nav:24
/livnevka/;Ливневая канализация на участке: инструкции | НАШДОМ;Ливневая канализация на участке;Раздел о ливневой канализации частного дома: устройство системы, уклоны труб и лотков, дождеприёмники, монтаж и связка с дренажом участка.;ливневая канализация участке;84;no;3;"/livnevka/livnevaya-kanalizaciya/ (Ливневая канализация: устройство, уклон, диаметр Главная статья раздела: дождеприёмники, лотки, трубы 110-160, таблица уклонов и монтаж по шагам.); /drenazh/otvod-vody-ot-doma/ (защита фундамента от воды целиком); /drenazh/ (остальные материалы о дренаже участка)";49;0;header-nav:49
/livnevka/livnevaya-kanalizaciya/;Ливневая канализация: устройство, уклон, диаметр | НАШДОМ;Ливневая канализация: устройство, уклон, диаметр;Разбираю устройство ливневой канализации в частном доме: какой уклон держать для труб 110 и 160 мм и лотков, как выбрать диаметр и собрать систему своими руками.;ливневая канализация устройство уклон;883;yes;6;"/drenazh/otvod-vody-ot-doma/ (защита фундамента от крышной воды); /drenazh/drenazhnyy-kolodec/ (куда поставить приёмный колодец); / (вода на участке: скважина, дренаж, ливнёвка); /drenazh/otvod-vody-ot-doma/ (Отвод воды от дома: система из трёх рубежей); /drenazh/drenazh-uchastka-svoimi-rukami/ (Дренаж участка от А до Я своими руками); / (Обзор всех инструкций НАШДОМ)";5;5;"article-body:1; main-card:1; related:3"
/o-proekte/;О проекте НАШДОМ | НАШДОМ;О проекте НАШДОМ;НАШДОМ: практический справочник по дренажу участка, скважинам и ливневой канализации. Кто его ведёт, откуда данные и как проект зарабатывает.;проекте;188;no;3;"/ (главной страницы); /drenazh/drenazh-uchastka-svoimi-rukami/ (большой инструкции по дренажу); /kontakty/ (контактов)";48;0;header-nav:48
/politika/;Политика конфиденциальности | НАШДОМ;Политика конфиденциальности;Политика конфиденциальности сайта ursdom.ru: какие данные собирает Яндекс Метрика, как используются cookie и что означают партнёрские ссылки.;политика конфиденциальности;213;no;0;;23;0;footer-nav:23
/skvazhina/;Скважина и водоснабжение дома: инструкции | НАШДОМ;Скважина и водоснабжение дома;Раздел о скважине на воду: обсадные трубы и ПНД, скважинный адаптер, кессон, гидроаккумулятор с реле давления и фильтры очистки воды для частного дома.;скважина водоснабжение;175;no;7;"/skvazhina/truba-dlya-skvazhiny/ (Труба для скважины Обсадная колонна: НПВХ, металл, диаметр 125 и толщина стенки.); /skvazhina/truby-pnd-dlya-skvazhiny/ (Трубы ПНД для скважины Марки, SDR, диаметры 25-40 и фитинги для подачи воды в дом.); /skvazhina/adapter-dlya-skvazhiny/ (Адаптер для скважины Вывод воды без кессона: размер 1 дюйм под 32, монтаж за день.); /skvazhina/kesson-dlya-skvazhiny/ (Кессон для скважины Пластиковый, металлический или из бетонных колец: сравнение и монтаж.); /skvazhina/gidroakkumulyator-dlya-skvazhiny/ (Гидроаккумулятор Объём под расход семьи, давление воздуха, реле и схема подключения.); /skvazhina/filtr-dlya-vody-iz-skvazhiny/ (Фильтр для воды Ступени очистки по анализу: механика, железо, жёсткость, питьевая.); /drenazh/ (про дренаж участка)";54;0;header-nav:54
/skvazhina/adapter-dlya-skvazhiny/;Адаптер для скважины 1 под 32: выбор и монтаж | НАШДОМ;Адаптер для скважины: выбор и монтаж;Рассказываю, как выбрать адаптер для скважины 1 дюйм под трубу ПНД 32: устройство, материал, глубина установки, монтаж своими руками и сравнение с кессоном.;адаптер скважины выбор монтаж;916;yes;7;"/skvazhina/truby-pnd-dlya-skvazhiny/ (какую ПНД трубу повесить на адаптер); /skvazhina/kesson-dlya-skvazhiny/ (камера для оборудования у устья); / (справочник НАШДОМ); /skvazhina/kesson-dlya-skvazhiny/ (Что выбрать: кессон из бетонных колец или пластиковый); /skvazhina/truby-pnd-dlya-skvazhiny/ (Какая труба ПНД подходит для подачи воды из скважины); /skvazhina/gidroakkumulyator-dlya-skvazhiny/ (Гидроаккумулятор: объём, давление и настройка реле); / (Инженерный справочник НАШДОМ: главная страница)";8;8;"main-card:2; related:6"
/skvazhina/filtr-dlya-vody-iz-skvazhiny/;Фильтр для воды из скважины: как выбрать по анализу | НАШДОМ;Фильтр для воды из скважины: как выбрать;Разбираю, какой фильтр на трубу для скважины нужен в доме: грубая очистка, магистральные колбы, обезжелезивание, умягчение и питьевая ступень по анализу воды.;фильтр скважины;863;yes;7;"/skvazhina/gidroakkumulyator-dlya-skvazhiny/ (узел с баком и реле давления); /skvazhina/truby-pnd-dlya-skvazhiny/ (вводная магистраль ПНД 32); / (все инструкции по воде на участке); /skvazhina/gidroakkumulyator-dlya-skvazhiny/ (Как работает гидроаккумулятор в системе из скважины); /skvazhina/kesson-dlya-skvazhiny/ (Пластиковый или бетонный кессон: сравнение); /skvazhina/truba-dlya-skvazhiny/ (Из какой трубы делают обсадную колонну); / (Главная страница со всеми темами по воде)";5;5;"article-body:1; main-card:1; related:3"
/skvazhina/gidroakkumulyator-dlya-skvazhiny/;Гидроаккумулятор для скважины: как выбрать объём | НАШДОМ;Гидроаккумулятор для скважины: как выбрать и подключить;Объясняю, какой выбрать гидроаккумулятор для скважины: расчёт объёма, мембрана, давление воздуха, настройка реле давления и схема подключения к насосу.;гидроаккумулятор скважины;990;yes;8;"/skvazhina/truby-pnd-dlya-skvazhiny/ (магистраль ПНД от скважины до дома); /skvazhina/rating-gidroakkumulyatorov/ (рейтинг гидроаккумуляторов для скважины); /skvazhina/filtr-dlya-vody-iz-skvazhiny/ (сетчатая грубая очистка до бака); / (полный справочник по участку); /skvazhina/adapter-dlya-skvazhiny/ (Вывод воды через скважинный адаптер); /skvazhina/kesson-dlya-skvazhiny/ (Тёплый кессон для скважины: зачем он нужен); /skvazhina/filtr-dlya-vody-iz-skvazhiny/ (С чего начать очистку воды из скважины); / (Полный список инструкций по воде на участке и в доме)";8;8;"main-card:1; related:7"
/skvazhina/kesson-dlya-skvazhiny/;Кессон для скважины: из бетонных колец или пластиковый | НАШДОМ;Кессон для скважины: какой выбрать;Сравниваю кессон из бетонных колец для скважины с пластиковым и металлическим: размеры, гидроизоляция, порядок монтажа своими руками и когда кессон вообще не нужен.;кессон скважины;922;yes;8;"/skvazhina/rating-gidroakkumulyatorov/ (рейтинг гидроаккумуляторов); /skvazhina/gidroakkumulyator-dlya-skvazhiny/ (где разместить бак и реле); /skvazhina/filtr-dlya-vody-iz-skvazhiny/ (первые ступени очистки на вводе); / (на главной НАШДОМ); /skvazhina/adapter-dlya-skvazhiny/ (Адаптер вместо кессона: когда это оправдано); /skvazhina/truba-dlya-skvazhiny/ (Выбор обсадной трубы: НПВХ, металл, диаметр 125); /skvazhina/gidroakkumulyator-dlya-skvazhiny/ (Куда ставить гидроаккумулятор: в кессон или в дом); / (НАШДОМ: все разделы справочника)";7;7;"main-card:1; related:6"
/skvazhina/rating-gidroakkumulyatorov/;Рейтинг гидроаккумуляторов для скважины: какой объём | НАШДОМ;Рейтинг гидроаккумуляторов для скважины: какой объём выбрать;Рейтинг гидроаккумуляторов для скважины: какой объём выбрать, 50 или 100 литров, лучший бак для частного дома. Сравнение по объёму и мембране без цен.;рейтинг гидроаккумуляторов скважины объём;649;yes;5;"/skvazhina/gidroakkumulyator-dlya-skvazhiny/ (Как работает гидроаккумулятор и как его подключить); /skvazhina/kesson-dlya-skvazhiny/ (Куда поставить бак: в кессон или в дом); /skvazhina/truby-pnd-dlya-skvazhiny/ (Магистраль ПНД от скважины к дому); /skvazhina/filtr-dlya-vody-iz-skvazhiny/ (Грубая очистка до бака и реле); / (НАШДОМ: обзор всех тем по воде на участке)";3;3;article-body:3
/skvazhina/truba-dlya-skvazhiny/;Труба для скважины: обсадная, диаметр 125, материал | НАШДОМ;Труба для скважины: обсадная, диаметр и материал;Выбираю обсадную трубу для скважины: НПВХ, металл или ПНД, почему стандартом стал диаметр 125 мм, какая толщина стенки и резьба нужны и когда хватит 110 мм.;труба скважины обсадная диаметр;1042;yes;7;"/skvazhina/truby-pnd-dlya-skvazhiny/ (водоподъёмная магистраль из ПНД); /skvazhina/adapter-dlya-skvazhiny/ (вывод трубы через стенку обсадной); / (справочник по дренажу участка и водоснабжению); /skvazhina/truby-pnd-dlya-skvazhiny/ (Диаметры и резьба труб ПНД для скважины); /skvazhina/adapter-dlya-skvazhiny/ (Скважинный адаптер: устройство и монтаж); /skvazhina/kesson-dlya-skvazhiny/ (Кессон над скважиной: варианты обустройства); / (Разделы справочника: скважина, дренаж, ливнёвка)";5;5;"main-card:1; related:4"
/skvazhina/truby-pnd-dlya-skvazhiny/;Труба ПНД для скважины: марка, SDR и диаметр 32 | НАШДОМ;Труба ПНД для скважины: марка, диаметр и SDR;Разбираю трубу ПНД для скважины: марка ПЭ100, параметр SDR, диаметры 25, 32 и 40 мм, компрессионные фитинги для насоса. Отдельно: диаметры и резьба обсадных труб.;труба скважины марка диаметр;926;yes;8;"/skvazhina/rating-gidroakkumulyatorov/ (рейтинг гидроаккумуляторов); /skvazhina/adapter-dlya-skvazhiny/ (герметичный проход ПНД 32 через обсадную); /skvazhina/truba-dlya-skvazhiny/ (выбор обсадной колонны целиком); / (НАШДОМ); /skvazhina/truba-dlya-skvazhiny/ (НПВХ или металл: из чего делать обсадную колонну); /skvazhina/adapter-dlya-skvazhiny/ (Адаптер 1 дюйм под трубу ПНД 32); /skvazhina/gidroakkumulyator-dlya-skvazhiny/ (Подбор гидроаккумулятора для скважинного водопровода); / (Все гайды по скважине, дренажу и ливнёвке)";8;8;"article-body:2; main-card:1; related:5"
